method,system,d_site,N,n_qubits,n_qutrits,hybrid_label,K,fidelity_mean,fidelity_std,setting_size
DSATUR,qubit,2,2,2,0,,1,0.882039905,0.025919954,3
DSATUR,qubit,2,2,2,0,,2,0.908957851,0.030194361,3
DSATUR,qubit,2,2,2,0,,3,0.937421388,0.02758519,3
DSATUR,qubit,2,2,2,0,,4,0.968949653,0.017926333,3
DSATUR,qubit,2,2,2,0,,5,1,7.57E-15,3
DSATUR,qubit,2,3,3,0,,1,0.865808072,0.01920039,7
DSATUR,qubit,2,3,3,0,,2,0.875710278,0.018836022,6
DSATUR,qubit,2,3,3,0,,3,0.888484317,0.018565244,6
DSATUR,qubit,2,3,3,0,,4,0.905564413,0.017163554,6
DSATUR,qubit,2,3,3,0,,5,0.921964771,0.014550403,6
DSATUR,qubit,2,3,3,0,,6,0.928635628,0.012759035,4
DSATUR,qubit,2,3,3,0,,7,0.9333357,0.012217292,4
DSATUR,qubit,2,3,3,0,,8,0.942788292,0.012872928,4
DSATUR,qubit,2,3,3,0,,9,0.947428598,0.010612101,4
DSATUR,qubit,2,3,3,0,,10,0.956332805,0.008190908,4
DSATUR,qubit,2,3,3,0,,11,0.968622159,0.006699551,3
DSATUR,qubit,2,3,3,0,,12,0.978019697,0.008256614,3
DSATUR,qubit,2,3,3,0,,13,0.989389302,0.006834976,3
DSATUR,qubit,2,3,3,0,,14,1,8.12E-15,3
DSATUR,qubit,2,4,4,0,,1,0.864111647,0.012136863,15
DSATUR,qubit,2,4,4,0,,2,0.87227847,0.011408994,15
DSATUR,qubit,2,4,4,0,,3,0.879598269,0.009034653,14
DSATUR,qubit,2,4,4,0,,4,0.887903421,0.008667633,14
DSATUR,qubit,2,4,4,0,,5,0.89634685,0.01122032,13
DSATUR,qubit,2,4,4,0,,6,0.904808858,0.010372887,13
DSATUR,qubit,2,4,4,0,,7,0.910098301,0.010086652,13
DSATUR,qubit,2,4,4,0,,8,0.91546491,0.010236423,12
DSATUR,qubit,2,4,4,0,,9,0.922609845,0.009397826,11
DSATUR,qubit,2,4,4,0,,10,0.929998879,0.009209965,11
DSATUR,qubit,2,4,4,0,,11,0.936204423,0.007968178,10
DSATUR,qubit,2,4,4,0,,12,0.941715816,0.008775843,10
DSATUR,qubit,2,4,4,0,,13,0.948750116,0.008480272,10
DSATUR,qubit,2,4,4,0,,14,0.954018727,0.009288561,10
DSATUR,qubit,2,4,4,0,,15,0.959701584,0.009066661,9
DSATUR,qubit,2,4,4,0,,16,0.963700638,0.009320449,9
DSATUR,qubit,2,4,4,0,,17,0.969781875,0.007526634,9
DSATUR,qubit,2,4,4,0,,18,0.9754761,0.006778299,8
DSATUR,qubit,2,4,4,0,,19,0.982465304,0.004830361,7
DSATUR,qubit,2,4,4,0,,20,0.987532403,0.003783864,7
DSATUR,qubit,2,4,4,0,,21,0.992232114,0.003364639,6
DSATUR,qubit,2,4,4,0,,22,0.994568506,0.003311546,6
DSATUR,qubit,2,4,4,0,,23,0.994568507,0.003311546,5
DSATUR,qubit,2,4,4,0,,24,0.99666318,0.002405182,4
DSATUR,qubit,2,4,4,0,,25,0.998865482,0.001182298,4
DSATUR,qubit,2,4,4,0,,26,0.998865482,0.001182298,3
DSATUR,qubit,2,4,4,0,,27,0.998865482,0.001182298,3
DSATUR,qubit,2,4,4,0,,28,0.998865482,0.001182298,2
DSATUR,qubit,2,4,4,0,,29,1,4.25E-15,2
DSATUR,qubit,2,5,5,0,,1,0.855215347,0.002809269,31
DSATUR,qubit,2,5,5,0,,2,0.860011839,0.002428371,31
DSATUR,qubit,2,5,5,0,,3,0.865113234,0.002358274,30
DSATUR,qubit,2,5,5,0,,4,0.870707083,0.002991078,29
DSATUR,qubit,2,5,5,0,,5,0.875125685,0.002757439,28
DSATUR,qubit,2,5,5,0,,6,0.8798803,0.002848843,28
DSATUR,qubit,2,5,5,0,,7,0.883866649,0.003055522,27
DSATUR,qubit,2,5,5,0,,8,0.887151932,0.003649241,26
DSATUR,qubit,2,5,5,0,,9,0.89155694,0.003558161,25
DSATUR,qubit,2,5,5,0,,10,0.896283638,0.003201654,25
DSATUR,qubit,2,5,5,0,,11,0.89942606,0.003428548,25
DSATUR,qubit,2,5,5,0,,12,0.903024878,0.003556363,25
DSATUR,qubit,2,5,5,0,,13,0.90663368,0.004157557,25
DSATUR,qubit,2,5,5,0,,14,0.90957985,0.004107949,25
DSATUR,qubit,2,5,5,0,,15,0.913679359,0.003697798,24
DSATUR,qubit,2,5,5,0,,16,0.916706992,0.004025382,24
DSATUR,qubit,2,5,5,0,,17,0.920195055,0.004468845,24
DSATUR,qubit,2,5,5,0,,18,0.923113779,0.004020511,23
DSATUR,qubit,2,5,5,0,,19,0.926119174,0.004246848,23
DSATUR,qubit,2,5,5,0,,20,0.928866675,0.003731752,22
DSATUR,qubit,2,5,5,0,,21,0.932530425,0.00372588,22
DSATUR,qubit,2,5,5,0,,22,0.934715078,0.002804113,20
DSATUR,qubit,2,5,5,0,,23,0.937455077,0.003057647,19
DSATUR,qubit,2,5,5,0,,24,0.939714923,0.003686131,18
DSATUR,qubit,2,5,5,0,,25,0.941721158,0.00397856,18
DSATUR,qubit,2,5,5,0,,26,0.944015142,0.003400479,16
DSATUR,qubit,2,5,5,0,,27,0.946524665,0.003356119,16
DSATUR,qubit,2,5,5,0,,28,0.948486312,0.003475634,16
DSATUR,qubit,2,5,5,0,,29,0.950661338,0.003307529,16
DSATUR,qubit,2,5,5,0,,30,0.953136033,0.003139975,16
DSATUR,qubit,2,5,5,0,,31,0.955126521,0.003216577,15
DSATUR,qubit,2,5,5,0,,32,0.958039132,0.003703975,14
DSATUR,qubit,2,5,5,0,,33,0.960186904,0.003820938,14
DSATUR,qubit,2,5,5,0,,34,0.962339394,0.004008239,13
DSATUR,qubit,2,5,5,0,,35,0.96490079,0.0039805,13
DSATUR,qubit,2,5,5,0,,36,0.96701982,0.003650284,13
DSATUR,qubit,2,5,5,0,,37,0.969179233,0.003651925,13
DSATUR,qubit,2,5,5,0,,38,0.971419575,0.003817382,13
DSATUR,qubit,2,5,5,0,,39,0.973516416,0.0030386,13
DSATUR,qubit,2,5,5,0,,40,0.975610271,0.002243005,12
DSATUR,qubit,2,5,5,0,,41,0.977673265,0.002319294,12
DSATUR,qubit,2,5,5,0,,42,0.980409523,0.002223795,12
DSATUR,qubit,2,5,5,0,,43,0.983528138,0.002327778,12
DSATUR,qubit,2,5,5,0,,44,0.98645221,0.001685922,11
DSATUR,qubit,2,5,5,0,,45,0.988657561,0.00236137,10
DSATUR,qubit,2,5,5,0,,46,0.990451496,0.002319161,10
DSATUR,qubit,2,5,5,0,,47,0.991368756,0.002288353,10
DSATUR,qubit,2,5,5,0,,48,0.993921344,0.001211277,10
DSATUR,qubit,2,5,5,0,,49,0.997071773,0.001134474,10
DSATUR,qubit,2,5,5,0,,50,0.999122891,0.000621079,9
DSATUR,qubit,2,5,5,0,,51,0.999354814,0.000587423,9
DSATUR,qubit,2,5,5,0,,52,0.999354814,0.000587423,9
DSATUR,qubit,2,5,5,0,,53,0.999354814,0.000587423,8
DSATUR,qubit,2,5,5,0,,54,1,1.88E-14,8
DSATUR,qubit,2,5,5,0,,55,1,1.81E-14,8
