row_type,system,d,N,total_ops,method,seed,colors,times,colors_std,times_std,n_seeds
raw,qubit,2,2,15,DSATUR,0,5,0,,,5
raw,qubit,2,2,15,DSATUR,1,5,0,,,5
raw,qubit,2,2,15,DSATUR,2,5,0.00099802,,,5
raw,qubit,2,2,15,DSATUR,3,5,0,,,5
raw,qubit,2,2,15,DSATUR,4,5,0.000997782,,,5
summary,qubit,2,2,15,DSATUR,,5,0.000991604,0,0.000546573,5
raw,qubit,2,2,15,GNN,0,8,0.124980927,,,5
raw,qubit,2,2,15,GNN,1,10,0.088141203,,,5
raw,qubit,2,2,15,GNN,2,8,0.092464924,,,5
raw,qubit,2,2,15,GNN,3,8,0.104530573,,,5
raw,qubit,2,2,15,GNN,4,8,0.151487589,,,5
summary,qubit,2,2,15,GNN,,8.4,0.112321043,0.894427191,0.026143415,5
raw,qubit,2,2,15,ILP,0,5,0.169122219,,,5
raw,qubit,2,2,15,ILP,1,5,0.16346693,,,5
raw,qubit,2,2,15,ILP,2,5,0.248246193,,,5
raw,qubit,2,2,15,ILP,3,5,0.153708458,,,5
raw,qubit,2,2,15,ILP,4,5,0.292992592,,,5
summary,qubit,2,2,15,ILP,,5,0.205507278,0,0.006175491,5
raw,qubit,2,2,15,RLF,0,6,0.000995743,,,5
raw,qubit,2,2,15,RLF,1,6,0,,,5
raw,qubit,2,2,15,RLF,2,6,0.000995743,,,5
raw,qubit,2,2,15,RLF,3,7,0.000995743,,,5
raw,qubit,2,2,15,RLF,4,5,0.000998574,,,5
summary,qubit,2,2,15,RLF,,6,0.000995743,0.707106781,0,5
raw,qubit,2,2,15,Spectral,0,11,0.005001068,,,5
raw,qubit,2,2,15,Spectral,1,9,0.003002405,,,5
raw,qubit,2,2,15,Spectral,2,10,0.005603075,,,5
raw,qubit,2,2,15,Spectral,3,11,0.002987385,,,5
raw,qubit,2,2,15,Spectral,4,11,0.002745628,,,5
summary,qubit,2,2,15,Spectral,,10.4,0.003867912,0.894427191,0.001330299,5
raw,qubit,2,3,63,DSATUR,0,11,0.005144119,,,5
raw,qubit,2,3,63,DSATUR,1,13,0.003412724,,,5
raw,qubit,2,3,63,DSATUR,2,10,0.003069878,,,5
raw,qubit,2,3,63,DSATUR,3,12,0.003903151,,,5
raw,qubit,2,3,63,DSATUR,4,10,0.002993584,,,5
summary,qubit,2,3,63,DSATUR,,11.2,0.003704691,1.303840481,0.000881085,5
raw,qubit,2,3,63,GNN,0,11,0.201983213,,,5
raw,qubit,2,3,63,GNN,1,13,0.211107254,,,5
raw,qubit,2,3,63,GNN,2,10,0.187426805,,,5
raw,qubit,2,3,63,GNN,3,16,0.174893141,,,5
raw,qubit,2,3,63,GNN,4,10,0.14034462,,,5
summary,qubit,2,3,63,GNN,,12,0.183151007,2.549509757,0.027636323,5
raw,qubit,2,3,63,ILP,0,9,0.613481998,,,5
raw,qubit,2,3,63,ILP,1,9,0.884077549,,,5
raw,qubit,2,3,63,ILP,2,9,0.677797794,,,5
raw,qubit,2,3,63,ILP,3,9,0.773909092,,,5
raw,qubit,2,3,63,ILP,4,9,0.677847862,,,5
summary,qubit,2,3,63,ILP,,9,0.725422859,0,0.010557522,5
raw,qubit,2,3,63,RLF,0,13,0.003369878,,,5
raw,qubit,2,3,63,RLF,1,13,0.003167625,,,5
raw,qubit,2,3,63,RLF,2,12,0.003869878,,,5
raw,qubit,2,3,63,RLF,3,13,0.003451171,,,5
raw,qubit,2,3,63,RLF,4,11,0.003987762,,,5
summary,qubit,2,3,63,RLF,,12.4,0.003607241,0.894427191,0,5
raw,qubit,2,3,63,Spectral,0,19,0.009052753,,,5
raw,qubit,2,3,63,Spectral,1,21,0.012638807,,,5
raw,qubit,2,3,63,Spectral,2,18,0.010986328,,,5
raw,qubit,2,3,63,Spectral,3,18,0.010099411,,,5
raw,qubit,2,3,63,Spectral,4,19,0.011205912,,,5
summary,qubit,2,3,63,Spectral,,19,0.010796642,1.224744871,0.001334572,5
raw,qubit,2,4,255,DSATUR,0,28,0.162693262,,,5
raw,qubit,2,4,255,DSATUR,1,28,0.31899929,,,5
raw,qubit,2,4,255,DSATUR,2,25,0.321999073,,,5
raw,qubit,2,4,255,DSATUR,3,28,0.322996855,,,5
raw,qubit,2,4,255,DSATUR,4,26,0.322766542,,,5
summary,qubit,2,4,255,DSATUR,,27,0.289891005,1.414213562,0.071123632,5
raw,qubit,2,4,255,GNN,0,28,0.743175983,,,5
raw,qubit,2,4,255,GNN,1,28,1.863070011,,,5
raw,qubit,2,4,255,GNN,2,25,1.866250277,,,5
raw,qubit,2,4,255,GNN,3,28,1.95577383,,,5
raw,qubit,2,4,255,GNN,4,26,1.470839024,,,5
summary,qubit,2,4,255,GNN,,27,1.579821825,1.414213562,0.503851223,5
raw,qubit,2,4,255,ILP,0,17,1.293524265,,,5
raw,qubit,2,4,255,ILP,1,17,2.747612238,,,5
raw,qubit,2,4,255,ILP,2,17,3.596601963,,,5
raw,qubit,2,4,255,ILP,3,17,4.192754745,,,5
raw,qubit,2,4,255,ILP,4,17,3.009626389,,,5
summary,qubit,2,4,255,ILP,,17,2.96802392,0,1.089648696,5
